Perment_mode0,Perment_mode1,Perment_mode2,Perment_mode3,Perment_mode4,BIS
1.3454280546059885,1.7660043701519488,2.2351871209360747,2.5694954314329435,2.569940021768322,96.3
1.339086260843572,1.76570756126788,2.235454265772854,2.569471355261424,2.5698655135394564,97.1
1.339907587070841,1.7682393110273504,2.2356770730873214,2.569471355261424,2.569949234076283,97.1
1.3394397653096748,1.7671536939459043,2.237061369492776,2.5693104929487482,2.5698669186552965,97.1
1.3346531272272202,1.762780037311372,2.237279960667054,2.569591833247598,2.5697890583727068,97.1
1.3303648729293354,1.7598232011461432,2.2363565230424127,2.5694838505648354,2.569923830303636,97.1
1.3299793184697652,1.7617522243185162,2.2364077026361504,2.5695516833545926,2.569937085186439,97.1
1.3323754308009916,1.7627536117185254,2.2366263187854183,2.5695451779804324,2.570079107856776,97.1
1.3348250166094422,1.7614530747725592,2.2373395735677857,2.5695296303733213,2.570152475252637,97.1
1.3366695230355743,1.7609231183172502,2.2359625128134457,2.569363287275164,2.5700664926445986,97.1
1.3411124667797634,1.7614877881167117,2.2354276643784576,2.5694273363553033,2.57012059269425,97.2
1.3419324057411628,1.762501449067797,2.235815982238934,2.5696041014661293,2.570112590166757,97.4
1.330994458502949,1.7663754712556263,2.2372243872437356,2.5697497059142114,2.570350019132232,97.4
1.31680688868227,1.7647695074314056,2.2366393833709135,2.5697122871833558,2.5706181185034787,97.4
1.3119766591888238,1.7637880586902699,2.2360645267412176,2.5697652754343263,2.570689130892374,97.4
1.3161561363662408,1.7637727505027447,2.2357854263374835,2.569700530217057,2.570600780110516,97.4
1.3173681619279112,1.7628761417624528,2.236068193281894,2.569524813628292,2.570800101718466,97.4
1.3155628820677019,1.7633562565428753,2.237233584238447,2.5693469232230934,2.5707413631110847,97.4
1.3166189458497306,1.7632903786198222,2.2377387922454313,2.5693070021347113,2.5709789034868087,97.4
1.313466902299449,1.7629374893329601,2.236602467589355,2.569171911239436,2.5713548178378085,97.4
1.3134823800370885,1.76443972903994,2.235523519638022,2.568979276931312,2.5717419115173583,97.4
1.3203665743225352,1.7655148957309708,2.2346279716767503,2.5688078891121178,2.572162981564452,97.4
1.3225949958422225,1.7635787846936906,2.23463735317365,2.5683727697959853,2.5722331012082695,97.5
1.3090618380645789,1.7636725521731322,2.2352171493245296,2.568472010861311,2.572104766481396,97.6
1.3050828839530082,1.7660901188069382,2.23514883573602,2.5683564447847473,2.5721652808648114,97.6
1.3059085847207093,1.766097828938065,2.236371220539308,2.5680354207061677,2.5723377728436367,97.6
1.3044373836360497,1.7664814962750994,2.237210366110811,2.5683591670431283,2.572465695813457,97.6
1.3078356934886095,1.7650135681279555,2.2374386917063442,2.568094628197743,2.572517253400321,97.6
1.310138980457653,1.763016201545206,2.235738812352004,2.5679565727486073,2.5726799524264354,97.6
1.304817203792643,1.7605414521230844,2.235690139802985,2.56767983665397,2.5726130931962445,97.5
1.3070802973455349,1.7600644627427071,2.2360046971208636,2.5676765042802128,2.572577880333827,97.5
1.3047494229151904,1.758006407952411,2.236330623064115,2.5676319980283986,2.5724272659011396,97.5
1.3085216398579136,1.7618312939129268,2.238614437412356,2.567439084070005,2.572498098165939,97.5
1.3115815972676854,1.7617246451273567,2.2389292829097442,2.5674818825473347,2.5725078856830734,97.5
1.3085570697270628,1.7626785446558606,2.2389211345791384,2.567042165529252,2.5727503982479787,97.5
1.3062090245899745,1.7651771867899417,2.2391868751869666,2.5671225184415203,2.572711473523671,97.5
1.3122652193742201,1.7671045738153852,2.238912314527255,2.5673263724032633,2.572750249586572,97.5
1.3114260478267266,1.7691552910777242,2.2394513275387835,2.567475204765935,2.572972308946642,97.5
1.3087361872927235,1.7739530108982486,2.239718300201151,2.567367166275162,2.572788288328359,97.5
1.3170998105049552,1.7767431810402963,2.2406101017864133,2.5672940208094457,2.5729361431493984,97.5
1.32083675732648,1.7796509149908863,2.2406597561325783,2.566855535176558,2.573176379033406,97.5
1.3259106287466562,1.7812018074401665,2.2409590903036056,2.5669058479573343,2.5732376052719546,97.4
1.32670042841674,1.7839807439235182,2.2423906798294433,2.5668608184379806,2.573187662985606,97.3
1.3282949837578344,1.7855453757848878,2.241836136448968,2.5666310987332723,2.5733486100056915,97.3
1.3335488178117965,1.787982838390314,2.2426536433523623,2.5664741893535052,2.573397704258667,97.3
1.3350610856709508,1.7885006409677557,2.24177824009858,2.566305214132541,2.5732723955285466,97.3
1.3411102932155408,1.7884885249346443,2.2425887624711676,2.5662347674352617,2.573160857759062,97.3
1.33793137606198,1.7884530417608917,2.2423588885184995,2.5662628547014616,2.5730133278458127,97.3
1.3483815365835565,1.7873222937083653,2.2434909748745193,2.566344567861551,2.5728624929116184,97.4
1.3581395425089566,1.790744615234432,2.244791338464255,2.5664041294509317,2.5728470257524103,97.4
1.3585836693034987,1.7902868374611334,2.2453089864705693,2.566356322805683,2.572712748015246,97.4
1.3596811304801224,1.792760329671415,2.245856852261074,2.56626677342053,2.5728759205539435,97.4
1.3647274561938556,1.790464874596649,2.2454973436739474,2.5662359960637584,2.573023726060218,97.4
1.3648082349321369,1.7881261634497387,2.244857931538033,2.566287306088355,2.573045103921135,97.4
1.3702989577811366,1.7881441108039304,2.2457530915468933,2.5659987848218977,2.572930638737459,97.3
1.3709383342711914,1.7891118841098121,2.2455588459652636,2.56604640530931,2.573152118028007,97.3
1.3730001423900478,1.7876313567035838,2.246348636380215,2.565938957741055,2.5731845200888803,97.2
1.3728705463172262,1.7871829205138066,2.2452521081304173,2.5656907352329776,2.5731335785490193,97.1
